,Unnamed: 0,docid,string,label,start,end,Remove
70533,70533,8499,ALONSO FAJARDO,PER,316,318,0
49155,49155,5502,ALONSO FAJARDO,PER,23,25,0
48899,48899,5471,ALONSO FAJARDO,PER,7,9,0
48815,48815,5459,ALONSO FAJARDO,PER,7,9,0
48823,48823,5460,ALONSO FAJARDO,PER,7,9,0
48831,48831,5461,ALONSO FAJARDO,PER,0,2,0
48835,48835,5462,ALONSO FAJARDO,PER,7,9,0
49148,49148,5501,ALONSO FAJARDO,PER,34,36,0
48845,48845,5463,ALONSO FAJARDO,PER,0,2,0
48847,48847,5464,ALONSO FAJARDO,PER,7,9,0
48855,48855,5465,ALONSO FAJARDO,PER,0,2,0
48805,48805,5458,ALONSO FAJARDO,PER,7,9,0
48860,48860,5466,ALONSO FAJARDO,PER,7,9,0
48876,48876,5468,ALONSO FAJARDO,PER,7,9,0
48884,48884,5469,ALONSO FAJARDO,PER,7,9,0
48892,48892,5470,ALONSO FAJARDO,PER,7,9,0
70044,70044,8424,ALONSO FAJARDO,PER,23,25,0
48905,48905,5472,ALONSO FAJARDO,PER,7,9,0
48912,48912,5473,ALONSO FAJARDO,PER,7,9,0
70051,70051,8424,ALONSO FAJARDO,PER,100,102,0
48919,48919,5474,ALONSO FAJARDO,PER,7,9,0
48868,48868,5467,ALONSO FAJARDO,PER,7,9,0
48929,48929,5475,ALONSO FAJARDO,PER,0,2,0
48799,48799,5457,ALONSO FAJARDO,PER,40,42,0
48777,48777,5455,ALONSO FAJARDO,PER,7,9,0
69897,69897,8403,ALONSO FAJARDO,PER,23,25,0
70009,70009,8421,ALONSO FAJARDO,PER,19,21,0
70861,70861,8513,ALONSO FAJARDO,PER,72,74,0
70036,70036,8423,ALONSO FAJARDO,PER,46,48,0
70413,70413,8476,ALONSO FAJARDO,PER,18,20,0
48661,48661,5442,ALONSO FAJARDO,PER,7,9,0
48670,48670,5443,ALONSO FAJARDO,PER,27,29,0
48676,48676,5444,ALONSO FAJARDO,PER,7,9,0
48787,48787,5456,ALONSO FAJARDO,PER,7,9,0
70740,70740,8505,ALONSO FAJARDO,PER,26,28,0
48695,48695,5446,ALONSO FAJARDO,PER,49,51,0
48711,48711,5448,ALONSO FAJARDO,PER,7,9,0
48726,48726,5449,ALONSO FAJARDO,PER,21,23,0
48734,48734,5450,ALONSO FAJARDO,PER,21,23,0
48745,48745,5451,ALONSO FAJARDO,PER,5,7,0
48746,48746,5452,ALONSO FAJARDO,PER,14,16,0
48759,48759,5453,ALONSO FAJARDO,PER,7,9,0
48772,48772,5454,ALONSO FAJARDO,PER,28,30,0
48686,48686,5445,ALONSO FAJARDO,PER,7,9,0
48937,48937,5476,ALONSO FAJARDO,PER,0,2,0
70864,70864,8513,ALONSO FAJARDO,PER,83,85,0
48944,48944,5477,ALONSO FAJARDO,PER,0,2,0
48976,48976,5482,ALONSO FAJARDO,PER,0,2,0
48981,48981,5483,ALONSO FAJARDO,PER,9,11,0
48991,48991,5485,ALONSO FAJARDO,PER,22,24,0
49000,49000,5486,ALONSO FAJARDO,PER,0,2,0
49004,49004,5488,ALONSO FAJARDO,PER,0,2,0
