,token,score,match
227,Galias,86,galavias
228,Cristina,100,cristina
229,malpartida,100,malpartida
230,palacio,100,palacio
231,Cotan,100,cotan
232,hogeda,83,hojeda
233,rremate,77,arrate
234,villacastin,100,villacastin
235,Valderrama,100,valderrama
236,Cuesta,100,cuesta
237,Doblado,80,obligado
238,collantes,100,collantes
239,FAJARDO,100,fajardo
240,nibel,73,anibal
241,Tovar,100,tovar
242,balentin,88,valentin
243,casaberde,75,casares
244,Angulo,100,angulo
245,ArriagaLuis,78,arriaga
246,escovedo,88,escobedo
247,Higueras,100,higueras
248,CARDOSO,100,cardoso
249,CANCINO,92,cancio
250,ferrandes,89,fernandes
251,bellon,100,bellon
252,Chico,100,chico
253,questa,83,cuesta
254,mensulas,77,mensa
255,peralta,100,peralta
256,xeres,80,teres
257,Dormido,77,dorado
258,cuatro,83,cartro
259,orellana,100,orellana
260,ramos,100,ramos
261,cardenal,88,cardenas
262,apostoles,100,apostoles
263,justisias,82,justicia
264,vuena,80,veana
265,Zumarraga,78,lazarraga
266,Ribadeniera,91,ribadeneira
267,leno,89,eleno
268,rubricado-luis,58,pedro-luis
269,Omnium,67,num
270,mardo,83,minardo
271,Aqua,75,asua
272,chacon,100,chacon
273,Cañizares,100,cañizares
274,lorença,100,lorena
275,Ytieraen,77,teran
276,-gaspar,100,gaspar
277,tebriga,73,terça
278,corro,100,corro
279,uRibaRi,93,uribarri
280,atanasio,100,atanasio
281,quintanilla,100,quintanilla
282,enRique,100,enrique
283,çuleta,91,ulleta
284,Benites,86,benitez
285,ferrandez,89,ferrandiz
286,Teran,100,teran
287,Resucitado,78,preciado
288,arbas,89,aras
289,HIDALGO,100,hidalgo
290,bernaldina,90,bernardina
291,gaitan,100,gaitan
292,vilchez,100,vilchez
293,Maese,83,maestre
294,rrodrigo,93,rodrigo
295,Escuderos,100,escuderos
296,Hermenegildo,100,hermenegildo
297,noguera,100,noguera
298,Salguero,100,salguero
299,Hercules,77,herce
300,Ataraque,86,araque
301,cantera,100,cantera
302,frano,91,franco
303,Caseres,86,caceres
304,Tibino,80,ibio
305,Onigo,80,longo
306,Pinto,100,pinto
307,texeda,100,texeda
308,mañana,91,masana
309,Iglesias,100,iglesias
310,Informando,78,normande
311,Agustina,100,agustina
312,berbun,80,brun
313,Lamogar,77,lambar
314,Globos,80,lobo
315,betancur,89,betancourt
316,Nacimiento,74,sarmiento
317,Camunos,83,camos
318,Tacon,100,tacon
319,seuia,80,eguia
320,linpio,77,livinio
321,canpos,83,caynos
322,suero,100,suero
323,PEREA,100,perea
324,esparragosa,100,esparragosa
325,polei,75,pol
326,carey,80,caret
327,Salbador,88,salvador
328,barahona,100,barahona
329,Marie,100,marie
330,morga,100,morga
331,gusman,83,guzman
332,frayles,83,fraye
333,abiendo,77,albino
334,desistio,77,dessi
335,marmolero,89,marmolejo
336,Corral,100,corral
337,rrosa,89,rosa
338,Acisclos,93,acisclo
339,suhan,75,sanç
340,carton,100,carton
341,Niebla,100,niebla
342,canpania,80,campana
343,alonfo,83,alonso
344,Reyes,100,reyes
345,samora,83,zamora
346,batioja,75,battifora
347,fernando,100,fernando
348,Thoribio,93,toribio
349,Tiago,80,diago
350,Filibante,75,filiano
351,Alja,89,alaja
352,bronçe,91,browne
353,Bastilleros,78,sillero
354,sonbrerero,71,soberon
355,ynestroça,80,nestosa
356,Vasco,100,vasco
357,porra,91,porras
358,Frano,91,franco
