,token,score,match
1057,camacho,100,camacho
1058,garfias,83,arias
1059,PEREZ,100,perez
1060,peñate,80,peter
1061,Cecilia,100,cecilia
1062,esquivel,100,esquivel
1063,Najera,100,najera
1064,maestre,100,maestre
1065,gruessos,71,grosso
1066,dehorosco,80,orosco
1067,Roques,91,roque
1068,MATEIOS,92,mateos
1069,CORDOBA,100,cordoba
1070,lossada,92,losada
1071,SUAREZ,100,suarez
1072,agora,80,sagra
1073,Pinares,86,pilares
1074,Matienzo,100,matienzo
1075,LEON,100,leon
1076,micaela,100,micaela
1077,sauzedo,86,saucedo
1078,saque,80,sauce
1079,bolduque,100,bolduque
1080,adam,100,adam
1081,Orozquez,77,roque
1082,Teodora,86,teodoro
1083,Parrafranco,74,barranco
1084,darcos,91,arcos
1085,Fadrique,100,fadrique
1086,CALDERON,100,calderon
1087,gallegos,100,gallegos
1088,Castello,100,castello
1089,Eslotmans,71,lomas
1090,Ferino,86,ceferino
1091,Javier,100,javier
1092,alamo,100,alamo
1093,su,67,suau
1094,Coca,100,coca
1095,balderas,88,valderas
1096,Dauila,83,davila
1097,Valeros,92,valero
1098,German,100,german
1099,cayquigue,67,auguet
1100,Cadiz,100,cadiz
1101,Cienfuegos,100,cienfuegos
1102,ribas,100,ribas
1103,villarrubia,100,villarrubia
1104,Hortis,86,hortigas
1105,Acuña,100,acuña
1106,fijos,75,fos
1107,soy,75,saboy
1108,ESCHUTT,83,schut
1109,Yerbado,77,erardo
1110,Sonen,80,senen
1111,bosmediano,80,vosmediana
1112,zierre,83,pierre
1113,Padial,77,padilla
1114,Veraspe,77,raspeño
1115,der,100,der
1116,Cuellar,100,cuellar
1117,salbador,88,salvador
1118,Sopuerta,86,puerta
1119,Palma,100,palma
1120,Yllescas,88,illescas
1121,Caballero,100,caballero
1122,quintana,100,quintana
1123,prevº,86,pre
1124,antono,92,antonio
1125,casanueba,71,casanova
1126,alguazil,93,aguazil
1127,ysasi,80,isasi
1128,hechura,73,hera
1129,rezebi,73,breze
1130,Pedemontte,71,domonte
1131,Hermosilla,100,hermosilla
1132,bizente,71,vicente
1133,Geronimo,100,geronimo
1134,agramonte,100,agramonte
1135,Mexia,100,mexia
1136,rodriguez,100,rodriguez
1137,LLANOSBALDES,70,labiades
1138,Alvarez,100,alvarez
1139,Feyjo,91,feyjoo
1140,yordan,83,jordan
1141,Cetina,100,cetina
1142,burgos-,100,burgos
1143,beses,83,besades
1144,Augustina,94,agustina
1145,Casquiro,75,casimiro
1146,bartolo,88,bartolome
1147,lugo,100,lugo
1148,Vinuere,71,viguera
1149,yeso,75,yves
1150,Nicolasa,100,nicolasa
1151,rubricado-lucas,62,casarrubios
1152,GUIRAL,100,guiral
1153,GUARIN,86,guarinos
1154,HERRERAAGUILAR,69,riva-herrera
1155,Lebrija,100,lebrija
1156,Teniente,75,reciente
1157,Jeraldo,80,bernaldo
1158,vezina,77,veciana
1159,lobo,100,lobo
1160,jofre,100,jofre
1161,El,80,vel
1162,arzedo,83,arnedo
1163,--Nino,86,niño
1164,criales,100,criales
1165,chaues,83,chaves
1166,Retana,83,restan
1167,CRONELIO,88,cornelio
1168,manforena,82,anzorena
1169,geromino,77,germi
1170,daça,86,daza
1171,escouar,86,escobar
1172,Moneada,92,moneda
1173,uzedo,80,ucedo
1174,Balthasar,94,baltasar
1175,Villaverde,100,villaverde
1176,rubricadoFrancisco,67,francisco
1177,Gaitan,100,gaitan
1178,zambrano,100,zambrano
1179,Basquez,86,vasquez
1180,cespedes,100,cespedes
1181,pinto,100,pinto
1182,nueuo,75,nuño
1183,Linares,100,linares
1184,Suarte,83,duarte
1185,rubricadoJuan,63,rubian
1186,bejarano,100,bejarano
1187,basari,77,lascari
1188,ragis,80,ramis
1189,Burgueño,100,burgueño
1190,Zulueta,77,ulleta
1191,vuiedo,83,oviedo
1192,Mencia,100,mencia
1193,ANDRACH,86,andraca
1194,Resanar,77,renard
1195,Gracian,100,gracian
1196,cosme,100,cosme
1197,Salon,100,salon
1198,MEDINA,100,medina
1199,Tevra,89,terça
1200,frances,100,frances
1201,Padua,100,padua
1202,Orduña,100,orduña
1203,Resta--,100,resta
1204,Media,91,medina
1205,Mocade,77,moncada
1206,lisensiado,80,licenciado
1207,berastegui,100,berastegui
1208,angel,100,angel
1209,Clossa,91,lossa
1210,aze,86,arze
1211,Sugura,83,segura
1212,columnas,80,colunga
1213,baeza,100,baeza
1214,Chaveri,88,echaverri
1215,berbes,77,bernabe
1216,corbachino,89,corbacho
1217,Jaspar,83,gaspar
1218,Alº,80,ali
1219,TEJADA,100,tejada
1220,josefa,100,josefa
1221,gallega,86,gallego
1222,Abaco,80,bacio
1223,nuñes,80,nogues
1224,ssno,75,seso
1225,Pereanes,80,pereyns
1226,medinazeli,75,minali
1227,busto,100,busto
1228,Gurrumendi,80,yurramendi
1229,Cabezon,100,cabezon
1230,pretendia,75,redendi
1231,Sanabria,100,sanabria
1232,Domingo,100,domingo
1233,antegana,80,santana
1234,Dalila,83,davila
1235,merino,100,merino
1236,Recade,92,recalde
1237,Salcedosausedo,67,salceda
1238,Quejada,86,quesada
1239,bernardino,100,bernardino
1240,Rivadeneira,100,rivadeneira
1241,poniendole,71,coniedo
1242,CALVETE,100,calvete
1243,Rivera,100,rivera
1244,Nogueras,100,nogueras
1245,Quiroga,100,quiroga
1246,gamara,92,gamarra
1247,Mateo,100,mateo
1248,davila,100,davila
1249,Argadona,88,argandoña
1250,puerta,100,puerta
1251,Seba,86,sea
1252,MARQUEZ,100,marquez
1253,Almonacir,89,almonacid
1254,ugalde,100,ugalde
1255,Martin,100,martin
1256,ensanbladores,78,salvadores
1257,Tobias,83,sobiñas
1258,rreyna,91,reyna
1259,Garcia,100,garcia
1260,alferez,71,lefevre
1261,Frejenal,88,fregenal
1262,BERNAVE,86,bernabe
1263,carauajal,82,carvajal
1264,nupcias,73,piñas
1265,purificacion,100,purificacion
1266,Zanbrano,88,zambrano
1267,seuilla,86,sevilla
1268,nuebe,75,nee
1269,Romano,100,romano
1270,rruys,75,ruy
1271,Anbachts,71,abranches
1272,salfedo,86,salcedo
1273,Escoto,100,escoto
1274,alejandro,100,alejandro
1275,uargas,83,bargas
1276,chaburu,100,chaburu
1277,Eustaqui,94,eustaquio
1278,lescano,100,lescano
1279,Sutigo,77,postigo
1280,bera,89,obera
1281,Maestre,100,maestre
1282,Serabia,86,sarabia
1283,RIBERA,100,ribera
1284,escribana,89,escribano
1285,benir,80,benit
1286,Estupiñan,100,estupiñan
1287,maqula,77,manuela
1288,onesto,91,oneto
1289,Zojo,75,sojo
1290,LEONARDO,100,leonardo
1291,montearroyo,86,monterroso
1292,Sena,89,senra
1293,tobias,83,sobiñas
1294,pabes,80,panes
1295,granado,100,granado
1296,anbrosio,88,ambrosio
1297,gebara,77,ginebra
1298,Ruys,86,ruy
1299,Sabina,100,sabina
1300,surbaran,77,surra
1301,Paredes,100,paredes
1302,Madero,83,amadeo
1303,melgosa,100,melgosa
1304,Loys,80,loaysa
1305,Alcaraz,100,alcaraz
1306,mendes,100,mendes
1307,laretana,80,lartaun
1308,Huses,73,hugues
1309,balde,80,bayle
1310,arguelles,100,arguelles
1311,ballejo,86,vallejo
1312,Nuestro,77,nueros
1313,Antonio,100,antonio
1314,Francesca,94,francesc
1315,Torrejon,100,torrejon
1316,ceuadilla,75,capilla
1317,Luque,100,luque
1318,rubricadodiego,60,briceño
1319,ERRERA,92,ferrera
1320,urraca,100,urraca
1321,LLANOSVALDES,71,llanderal-valdes
1322,Monroe,83,monroy
1323,xerez,80,perez
1324,narvaez,100,narvaez
1325,Vistal,80,vial
1326,Graendes,86,grande
1327,rescebi,77,eusebi
1328,Dejar,80,bejar
1329,perez,100,perez
1330,Lisana,83,lizana
1331,Blasco,100,blasco
1332,eualdo,92,eudaldo
1333,vasco,100,vasco
1334,Ascarate,88,azcarate
1335,menacho,100,menacho
1336,MARTIN,100,martin
1337,jnan,86,jan
1338,rreszibo,67,barresi
1339,naruaes,83,arañes
1340,barlolome,89,bartolome
1341,Pierogullano,74,pierola
1342,pichardo,100,pichardo
1343,cerbigon,88,cervigon
1344,arrieta,100,arrieta
1345,catalina,100,catalina
1346,Campania,93,campana
1347,abraça,91,abraha
1348,maravedis,75,maraver
1349,godines,86,godinez
1350,FERNANDEZ,100,fernandez
1351,Uriano,86,turriano
1352,Barahona,100,barahona
1353,vseda,80,vedia
1354,Yriarte,86,ricarte
1355,bueno,100,bueno
1356,Bastan,91,basta
1357,Frechilla,100,frechilla
1358,Terrin,77,otermin
1359,Cansos,91,casos
1360,Ramudo,86,raimundo
1361,Escobad,86,escobar
1362,justisiasebastian,69,sebastian
1363,Herrandes,82,terrades
1364,montedo,86,montero
1365,jose,100,jose
1366,Manzanilla,82,azailla
1367,salasar,86,salazar
1368,ursanqui,82,urzainqui
1369,montañes,100,montañes
1370,Matheso,92,matheo
1371,bobadilla,100,bobadilla
1372,niculoso,100,niculoso
1373,gisado,77,giraldo
1374,agais,80,gamis
1375,reja,89,oreja
1376,posaderos,75,posadas
1377,olea,100,olea
1378,SalsedoDiego,67,asiego
1379,santo,83,santiso
1380,CRISTO,100,cristo
1381,Stacio,80,saco
1382,Andrea,100,andrea
1383,viejo,100,viejo
1384,tarjas,80,aras
1385,Baro,100,baro
1386,naturales,75,natuera
1387,Ortis,83,cortiñas
1388,CALVO,100,calvo
1389,XIMENEZ,100,ximenez
1390,NEIRA,100,neira
1391,urzanqui,94,urzainqui
1392,ERNANDEZ,94,hernandez
1393,Onofrio,86,honorio
1394,Muerte,83,uberte
1395,Corro,100,corro
1396,borrero,86,borrego
1397,Bastas,92,abastas
1398,Florencia,100,florencia
1399,boldoque,88,bolduque
1400,jumetria,71,merida
1401,Labrare,86,lambare
1402,Gomes,100,gomes
1403,Bozomo,67,bozelo
1404,petruche,80,perchet
1405,Marin,100,marin
1406,armendia,100,armendia
1407,IGNACIO,100,ignacio
1408,Serrero,86,herrero
1409,ARCOS,100,arcos
1410,Capitulo,75,campillo
1411,Besere,80,bessieres
1412,Salafranco,90,salafranca
1413,balbas,100,balbas
1414,montaluan,89,montalban
1415,sintado,75,sinibaldo
1416,Louque,91,luque
1417,Gonzales,88,gonzalez
1418,Sa,100,sa
1419,Benavente,100,benavente
1420,antolina,93,antolin
1421,Riba,100,riba
1422,Coimbra,77,imbrea
1423,juliana,100,juliana
1424,DOMINGUEZ,100,dominguez
1425,julian,100,julian
1426,Astola,100,astola
1427,rason,89,raon
1428,ines,100,ines
1429,goçalo,91,gonçalo
1430,luzente,80,lafuente
1431,siete,73,rosete
1432,donsella,77,della
1433,florez,100,florez
1434,ualdeuieso,70,valdivieso
1435,Padre,80,andre
1436,llorones,80,llorens
1437,bargas-,100,bargas
1438,Labonio,73,bono
1439,Valderas,100,valderas
1440,chaves,100,chaves
1441,Carrero,100,carrero
1442,Utrea,91,utrera
1443,Buenrostro,67,bento
1444,Petronila,100,petronila
1445,pinta,89,pina
1446,Tirio,80,tirso
1447,Alavarre,80,gavarre
1448,Ulloe,80,ulloa
1449,ruys,86,ruy
1450,Presuitero,80,prestamero
1451,Jacob,100,jacob
1452,austria,100,austria
1453,Reyna,100,reyna
1454,Lovillo,80,calvillo
1455,Alcina,83,olcina
1456,R,50,per
1457,Razon,91,ranzon
1458,alfaro,100,alfaro
1459,surita,80,rita
1460,garcitello,75,grillo
1461,primero,83,primo
1462,Oros,89,orosz
1463,BAN,86,baçan
1464,Saucedo,100,saucedo
1465,cataño,100,cataño
1466,Salamanca,100,salamanca
1467,Iriarte,100,iriarte
1468,Ror,75,roger
1469,Blasina,86,blasino
1470,fesilia,77,felipa
1471,granados,100,granados
1472,Fereriqui,78,federigui
1473,Escouar,86,escobar
1474,Tirado,100,tirado
1475,esparragossa,96,esparragosa
1476,frontera,82,frontaura
1477,resurreccion,63,sarrion
1478,Ulanos,83,llanos
1479,Maldonado,100,maldonado
1480,olanda,100,olanda
1481,Buenabentura,92,buenaventura
1482,Polanco,100,polanco
1483,Alariz,91,lariz
1484,Moran,100,moran
1485,Juana,100,juana
1486,Marco,100,marco
1487,fanchez,86,sanchez
1488,Halcon,100,halcon
1489,Propugnaculum,57,portugal
1490,abreu,100,abreu
1491,Bellarte,86,belart
1492,Galeotte,93,galeote
1493,oxirondo,75,coronado
1494,Julian,100,julian
1495,Publico,77,pulido
1496,briça,89,briñas
1497,GODOYCARVAJAL,76,carvajal
1498,Jnan,86,jan
1499,Santana,100,santana
1500,docientos,67,domenicos
1501,sena,89,senra
1502,-,0,abd
1503,Conzepcion,90,concepcion
1504,candelero,80,calero
1505,supraxpobal,62,rabal
1506,Sedemonte,75,somonte
1507,ovalle,100,ovalle
1508,baraona,100,baraona
1509,vergara,100,vergara
1510,CARO,100,caro
1511,Anamaria,89,santamaria
1512,Nabaro,80,baro
1513,NAVARETTE,89,navarrete
1514,araus,89,aras
1515,Constancia,84,constanza
1516,urbina,100,urbina
1517,Alberta,92,albert
1518,Basconcelos,91,vasconcelos
1519,CAMPOS,100,campos
1520,Abalos,86,caballos
1521,enrrique,93,enrique
1522,yllescas,88,illescas
1523,Albarez,86,alvarez
1524,Bojorquez,89,bohorquez
1525,Junquito,71,quinto
1526,eliseo,100,eliseo
1527,legott,75,albergotti
1528,balderrama,90,valderrama
1529,Neberos,80,cebreros
1530,alonzo,83,alonso
1531,ffedro,73,pedro
1532,prohenzanebes,64,provenzal
1533,Coalla,100,coalla
1534,solorzano,100,solorzano
1535,marquesa,93,marques
1536,alfe,75,alex
1537,Espinos,100,espinos
1538,Rmo,86,romo
1539,ssanchez,93,sanchez
1540,vispera,83,viera
1541,Sr,67,siri
1542,Castillo,100,castillo
1543,monferrate,90,monserrate
1544,conpelan,75,sopelana
1545,Orozco,100,orozco
1546,Gaspar,100,gaspar
1547,Jines,89,ines
1548,Tao,75,tadeo
1549,Vera,100,vera
1550,diez,100,diez
1551,MEJIA,100,mejia
1552,montoya,100,montoya
1553,garabito,100,garabito
1554,narbaez,86,narvaez
1555,grimon,100,grimon
1556,Lerin,100,lerin
1557,Elvara,83,elvira
1558,oballe,91,balle
1559,Herniquez,89,henriquez
1560,Oretano,83,otano
1561,Crifostomo,90,crisostomo
1562,zanbrano,88,zambrano
1563,Urreta,100,urreta
1564,gujerra,92,guerra
1565,trese,80,teseu
1566,MENA,100,mena
1567,Monrroi,86,monrroy
1568,aubezias,80,cabezas
1569,Cid,100,cid
1570,cabreros,93,cabrero
1571,Gonsales,80,rosales
1572,fijeroa,80,figueroa
1573,u,67,um
1574,Portilo,93,portillo
1575,ARTENSECALATADO,64,arnaldo
1576,Resivir,71,riviere
1577,anuncibay,100,anuncibay
1578,dorado,100,dorado
1579,baldeuieso,71,badenes
1580,Sabriana,86,sabina
1581,sepulbeda,89,sepulveda
1582,Enagenar,77,eagar
1583,ybarrola,88,ibarrola
1584,protonotario,74,notario
1585,bago,100,bago
1586,Bivar,100,bivar
1587,Baleros,80,albertos
1588,Soberano,80,soriano
1589,Espinar,100,espinar
1590,Ibarburu,80,viñaburu
1591,Pelters,86,peeters
1592,bonilla,100,bonilla
1593,Huerta,100,huerta
1594,seruantes,78,cervantes
1595,Gonçalo,100,gonçalo
1596,Romana,100,romana
1597,Salvadora,94,salvador
1598,Salvatierra,100,salvatierra
1599,Jospeh,83,joseph
1600,Bazan,100,bazan
1601,segundas,93,segunda
1602,felipe,100,felipe
1603,rreciue,71,recines
1604,Montaluan,89,montalban
1605,Conde,100,conde
1606,baço,86,bado
1607,Montesdaca,90,montesdoca
1608,Orosco,100,orosco
1609,saens,89,sans
1610,Estefania,100,estefania
1611,pascual,100,pascual
1612,Esquibel,88,esquivel
1613,ESCUT,80,schut
1614,Aillon,86,antillon
1615,Barbara,100,barbara
1616,peñafiel,100,peñafiel
1617,çatico,80,patiño
1618,hernaddes,78,bernaldes
1619,limpias,100,limpias
1620,PARRA,100,parra
1621,Valenzuela,100,valenzuela
1622,Nuestra,77,cuesta
1623,Famosos,77,amoros
1624,Vaillalta,94,villalta
1625,treuiño,83,treviño
1626,abadia,100,abadia
1627,cofta,89,cota
1628,Releuados,71,regalado
1629,Artemio,83,temiño
1630,sarmiento,100,sarmiento
1631,AMARROSTAO,80,gambarrota
1632,Parrillo,88,carrillo
1633,fecrerin,71,fermin
1634,ffonseca,93,fonseca
1635,FABON,80,fabio
1636,Castroberde,91,castroverde
1637,Aguirre,100,aguirre
1638,Berdo,83,berdejo
1639,Sigato,80,gato
1640,Chamorro,100,chamorro
1641,ollate,91,olate
1642,Escalera,100,escalera
1643,Garay,100,garay
1644,Gordillo,100,gordillo
1645,crifostomo,90,crisostomo
1646,Varo,80,alvaro
1647,vandelvira,100,vandelvira
1648,ogirondo,77,giron
1649,Acebedo,100,acebedo
1650,Thomas,100,thomas
1651,muger,77,muguerza
1652,Canelas,100,canelas
1653,Postigo,100,postigo
1654,sotomayor,100,sotomayor
1655,Cesar,100,cesar
1656,Ira,86,mira
1657,carbajal,100,carbajal
1658,carpintero,100,carpintero
1659,Gudiel,100,gudiel
1660,Alvira,91,alvia
1661,miranda,100,miranda
1662,Ledesma,100,ledesma
1663,Representasiones,58,restaino
1664,FigueroaManuel,73,figueroa
1665,frailes,92,fraile
1666,lucio,100,lucio
1667,Navarez,86,narvaez
1668,Garido,92,garrido
1669,Bitero,77,buitron
1670,Badaraco,80,badaran
1671,Camilo,100,camilo
1672,Ortelano,80,mortela
1673,Nava,100,nava
1674,Matta,89,mata
1675,Grandal,93,garandal
1676,BARAHONA,100,barahona
1677,Taronque,77,roque
1678,uzanqui,88,urzainqui
1679,gonçalez,93,gonzalez
1680,montaluo,88,montalto
1681,albornoz,100,albornoz
1682,argote,100,argote
1683,Cancelas,93,canelas
1684,Ranero,83,manero
1685,milla,100,milla
1686,luys,75,luis
1687,justa,100,justa
1688,Peres,100,peres
1689,matyas,91,matas
1690,doradas,83,ordas
1691,superior,77,suero
1692,criste,91,crist
1693,XII,67,xiu
1694,Camino,100,camino
1695,SALVADOR,100,salvador
1696,Macias,100,macias
1697,maeftros,80,maestro
1698,porta,100,porta
1699,Alexos,100,alexos
1700,Picaro,92,picardo
1701,Niverto,83,nieto
1702,Tamares,86,tabares
1703,Militaris,71,milia
1704,Austria,100,austria
1705,Cano,100,cano
1706,Vadillo,100,vadillo
1707,NUÑEZ,100,nuñez
1708,MALGAREJO,89,melgarejo
1709,gaynga,73,gauna
1710,aranguibel,89,arguibel
1711,Solorcani,78,solorzano
1712,Bos,86,baños
1713,Rajes,80,rates
1714,Estrudo,80,estuardo
1715,nobela,80,bela
1716,Hernan,100,hernan
1717,Solana,100,solana
1718,Gonsalo,92,gonçalo
1719,mosquera,100,mosquera
1720,Jerusalen,89,jerusalem
1721,Celidorio,82,eliodoro
1722,Buitron,100,buitron
1723,Frias,100,frias
1724,billaba,80,villalba
1725,basptista,94,baptista
1726,Viera,100,viera
1727,byolante,80,volante
1728,caña,86,cava
1729,Salces,91,sales
1730,SevillaJuan,86,villajuana
1731,Roda,100,roda
1732,Eclada,86,escalada
1733,Naranjo,83,arano
1734,Silua,80,silva
1735,Viedma,100,viedma
1736,lario,100,lario
1737,Sotes,80,ortes
1738,Laureano,100,laureano
1739,Manriquez,94,manrique
1740,LUSON,80,lison
1741,Va,80,van
1742,mercado,100,mercado
1743,Seuerino,88,severino
1744,carbonel,100,carbonel
1745,Riquelme,100,riquelme
1746,llanos,100,llanos
1747,sierralta,100,sierralta
1748,Ouido,80,guido
1749,Gamez,100,gamez
1750,moran,100,moran
1751,roman,100,roman
1752,oficyales,67,carles
1753,andujar,100,andujar
1754,JACINTO,100,jacinto
1755,Talvera,93,talavera
1756,dueñas,100,dueñas
1757,raimundo,100,raimundo
1758,Animas,80,ania
1759,Ezeto,73,mezeta
1760,Lursuriaga,84,luzuriaga
1761,canonigo,80,antonio
1762,Ribafelcha,80,rivafrecha
1763,arfediano,78,aureliano
1764,saluador,88,salvador
1765,Canasita,77,casta
1766,VANMOL,73,vango
1767,montefa,86,montesa
1768,RIOS,100,rios
1769,maeso,100,maeso
1770,Almansa,100,almansa
1771,Tapis,80,tapia
1772,Obiedo,83,oviedo
1773,Palomeque,100,palomeque
1774,Xpoual,73,puyal
1775,Criftoual,78,cristobal
1776,pumarraga,88,parraga
1777,villafranca,100,villafranca
1778,Useda,80,uceda
1779,Montañes,100,montañes
1780,Ruisfranco,75,franco
1781,Salsedo,92,alsedo
1782,navia,100,navia
1783,espinel,100,espinel
1784,Mata,100,mata
1785,medel,80,meade
1786,Barrasa,100,barrasa
1787,Hermenegdo,91,hermenegildo
1788,Bricio,86,fabricio
1789,Campo,100,campo
1790,aliaga,100,aliaga
1791,lorenca,92,lorena
1792,aforro,77,fornaro
1793,CESLAR,91,cesar
1794,Arriola,100,arriola
1795,Zavele,77,havelle
1796,Monton,91,monto
1797,belafquez,82,blazquez
1798,Las,86,blas
1799,SHUTT,80,schut
1800,quillen,86,guillen
1801,estupiñan,100,estupiñan
1802,Cerda,100,cerda
1803,Cavello,92,avello
1804,1737,0,abd
1805,Pedrozo,86,pedroso
1806,Pedia,80,peria
1807,guerrero,100,guerrero
1808,Venavides,89,benavides
1809,Cornexo,86,cornejo
1810,sustentandola,63,susana
1811,saldaria,86,saldaña
1812,Bruselas,100,bruselas
1813,Higera,92,higuera
1814,ambrofio,88,ambrosio
1815,rremescas,75,remesal
1816,Abedaria,86,abaria
1817,Laurencio,100,laurencio
1818,Juanos,83,juanes
1819,Cuerno,91,cuero
1820,Pareja,100,pareja
1821,ZAENS,80,daens
1822,baldera,86,bandera
1823,Vmdes,80,vides
1824,aluarez,86,alvarez
1825,Payba,89,paya
1826,cristobal,100,cristobal
1827,algualzil,88,aguazil
1828,Belmonte,100,belmonte
1829,noel,73,novella
1830,F,50,fos
1831,Montealegre,100,montealegre
1832,Cosar,89,coçar
1833,firmada,77,firmat
1834,NISA,75,niza
1835,Blaceo,83,blasco
1836,podades,71,pujades
1837,buiça,89,buiza
1838,Calbo,89,cabo
1839,Naravez,86,narvaez
1840,Estrella,100,estrella
1841,zuñiga,77,ezquiaga
1842,Moises,100,moises
1843,arquiteto,75,marquet
1844,vosfray,73,fray
1845,clerigo,80,cervigon
1846,granadilio,82,granado
1847,Baena,100,baena
1848,crisostomo,100,crisostomo
1849,Milagro,83,magro
1850,Carona,92,cardona
1851,Vanegas,86,venegas
1852,GABALDON,75,gastaldo
1853,Bastardo,77,sardo
1854,Zaragoza,80,aragona
1855,Beana,80,beata
1856,Orta,100,orta
1857,cardosso,93,cardoso
1858,Jossephe,86,joseph
1859,ynquisidor,71,isidoro
1860,feliciana,100,feliciana
1861,Loaysa,100,loaysa
1862,fuentesen,88,fuentes
1863,anbos,80,arbos
1864,Mayorga,100,mayorga
1865,MORGADO,100,morgado
1866,Leyba,100,leyba
1867,Liñan,100,liñan
1868,thomas,100,thomas
1869,lorenzo,100,lorenzo
1870,rrages,80,parragues
1871,yfauel,73,aurel
1872,Ramirez,100,ramirez
1873,Bazquez,93,blazquez
1874,vaes,80,viñales
1875,nonbro,73,noboa
1876,pinos,100,pinos
1877,Rufino,100,rufino
1878,Pantoja,100,pantoja
1879,Cantillo,100,cantillo
1880,Linar,83,linares
1881,notizia,77,oteiza
1882,lago,100,lago
1883,Rebollo,100,rebollo
1884,Santisima,100,santisima
1885,Fabiana,100,fabiana
1886,gil,100,gil
1887,PALENCIA,100,palencia
1888,Valera,100,valera
1889,Agustino,93,agustin
1890,quiroga,100,quiroga
1891,Biere,80,biure
1892,Monardes,100,monardes
1893,hernanda,88,fernanda
1894,Payan,100,payan
1895,uezina,77,enzinas
1896,salazar,100,salazar
1897,Xexas,73,feixas
1898,xpual,80,puyal
1899,matienço,93,matienzo
1900,Porras,100,porras
1901,Ballejo,86,vallejo
1902,Montoya,100,montoya
1903,Antto,80,anton
1904,armenia,93,armendia
1905,Undarte,77,duarte
1906,Uberuoaga,75,buruaga
1907,legod,73,luengo
1908,ossu,89,ossau
1909,Beri,89,berri
1910,Soriano,100,soriano
1911,Casaus,100,casaus
1912,Cana,89,canga
1913,ESCALONA,100,escalona
1914,bauzel,77,bañuelos
1915,Trujillo,100,trujillo
1916,aduana,83,durana
1917,Perdiz,91,periz
1918,valensuela,90,valenzuela
1919,aualos,83,avalos
1920,sacramento,100,sacramento
1921,Muerto,83,puerto
1922,Llano,100,llano
1923,Bera,89,obera
1924,mançanedo,94,manzanedo
1925,berrio,100,berrio
1926,xpobal,73,nobal
1927,vautista,88,bautista
1928,Zelaya,83,celaya
1929,Velas,89,veas
1930,cadiz,100,cadiz
1931,Vegines,86,begines
1932,Rosalia,100,rosalia
1933,veles,80,velez
1934,Mansilla,100,mansilla
1935,Camargo,100,camargo
1936,Hernando,100,hernando
1937,benegas,100,benegas
1938,CALATRAVA,100,calatrava
1939,antonia,100,antonia
1940,Montefinos,90,montesinos
1941,Micergilio,71,cecilio
1942,Rosada,83,posada
1943,piñon,100,piñon
1944,quiteria,75,interian
1945,pisano,83,pitano
1946,Davalos,100,davalos
1947,Laride,83,arpide
1948,uargaues,80,aragues
1949,Alua,89,alzua
1950,mexia,100,mexia
1951,Betancor,89,betancourt
1952,marin,100,marin
1953,firmojuan,67,firmat
1954,Onesco,77,onesimo
1955,Higales,83,gales
1956,recalde,100,recalde
1957,gatica,100,gatica
1958,feñorefHernan,67,fernan
1959,jara,100,jara
1960,Zamora,100,zamora
1961,Onbigoze,77,ongoz
1962,Caftilla,88,castilla
1963,lope,100,lope
1964,Montano,100,montano
1965,miraflores,78,miralles
1966,Bas,100,bas
1967,ENRIQUEZ,100,enriquez
1968,marchena,100,marchena
1969,os,80,fos
1970,salbatierra,91,salvatierra
1971,Clemencio,89,clemencia
1972,ugarte,100,ugarte
1973,Gallardo,100,gallardo
1974,Valtanel,75,valtanas
1975,Añasco,100,añasco
1976,pesaue,73,peset
1977,Alvarado,100,alvarado
1978,soriano,100,soriano
1979,carmen,100,carmen
1980,Manito,83,mancio
1981,JOAN,100,joan
1982,Riberdi,80,iriberri
1983,aveys,80,naves
1984,matrimonioAlonso,69,martiniano
1985,Serrano,100,serrano
1986,Ecce,67,croce
1987,Ldo,80,do
1988,presuitero,80,prestamero
1989,Ries,100,ries
1990,fallecio,80,faleiro
1991,Plata,100,plata
1992,Vormo,80,tormo
1993,thereza,77,teresa
1994,escoltura,82,escosura
1995,castelles,89,castellet
1996,castillejos,95,castillejo
1997,Spinola,100,spinola
1998,VALENCIA,100,valencia
1999,trespaso,71,teresa
2000,ofisiales,75,rosales
2001,billegas,88,villegas
2002,Calvete,100,calvete
2003,Valladares,100,valladares
2004,Brizeño,83,briceño
2005,Robledo,100,robledo
2006,Cabrero,100,cabrero
2007,Rojo,100,rojo
2008,pantoja,100,pantoja
2009,Serabe,77,bernabe
2010,ternero,100,ternero
2011,Yafiez,80,yañiz
2012,Garzon,100,garzon
2013,primera,83,riera
2014,Millon,83,millan
2015,Garrido,100,garrido
2016,ADRIAN,100,adrian
2017,DAVILAJuan,80,villajuana
2018,Ybanez,80,bañez
2019,Belzere,77,belver
2020,parrado,100,parrado
2021,barea,89,breña
2022,deoballa,77,della
2023,lleua,80,lleca
2024,Lujan,100,lujan
2025,andrada,100,andrada
2026,massera,77,madera
2027,NARAVETE,75,miravete
2028,guijon,91,gijon
2029,Oropesa,100,oropesa
2030,Sandoval,100,sandoval
2031,CAMPOLARGO,82,camargo
2032,Rafael,100,rafael
2033,BENJUMEDA,67,tejeda
2034,Dura,89,duran
2035,Guillermo,100,guillermo
2036,bermudo,100,bermudo
2037,cordero,100,cordero
2038,biejayten,67,briaen
2039,Vitoria,100,vitoria
2040,Mancebo,100,mancebo
2041,Anion,100,aniñon
2042,flandes,100,flandes
