,docid,match,string,start,end
605,1698,"juan
",Juan,795,796
606,1698,antonio,antonio,875,876
607,1698,francisco,francisco,986,987
608,1698,domingo,domingo,300,301
609,1698,francisco de,francisco de,986,988
610,1699,pedro,pedro,365,366
611,1702,antonio,antonio,83,84
612,1703,juan,juan,97,98
613,1703,"juan
",juan,97,98
614,1704,lorenzo,lorenzo,37,38
615,1711,albornos,albornos,66,67
616,1714,juan,juan,123,124
617,1714,"juan
",juan,123,124
618,1714,costa,costa,266,267
619,1715,costa,costa,282,283
620,1718,costa,costa,498,499
621,1720,costa,costa,67,68
622,1724,costa,costa,137,138
623,1725,costa,costa,155,156
624,1726,costa,costa,258,259
625,1727,costa,costa,148,149
626,1728,costa,costa,53,54
627,1731,costa,costa,213,214
628,1736,juan de dios,Juan de dios,99,102
629,1736,juan,Juan,99,100
630,1736,"juan
",Juan,99,100
631,1736,juan de,Juan de,99,101
632,1736,andres,andres,71,72
633,1737,costa,costa,412,413
634,1738,costa,costa,59,60
635,1740,domingo,domingo,747,748
636,1740,ana,ana,896,897
637,1740,costa,costa,173,174
638,1741,costa,costa,244,245
639,1743,costa,costa,164,165
640,1745,costa,costa,83,84
641,1747,joseph,Joseph,120,121
642,1747,costa,costa,215,216
643,1755,pedro,pedro,614,615
644,1755,pedro criste,pedro criste,614,616
645,1756,costa,costa,401,402
646,1757,alfonso,alfonso,161,162
647,1757,domingo,domingo,197,198
648,1758,costa,costa,647,648
649,1763,roque,roque,141,142
650,1763,costa,costa,234,235
651,1764,francisco,francisco,85,86
652,1764,francisco de,francisco de,85,87
653,1764,savastian,savastian,262,263
654,1764,costa,costa,437,438
655,1765,costa,costa,78,79
656,1766,juan,Juan,380,381
657,1766,"juan
",Juan,380,381
658,1766,barreda,barreda,136,137
659,1766,costa,costa,704,705
660,1768,ana,ana,101,102
661,1768,costa,costa,355,356
662,1769,juan,Juan,134,135
663,1769,"juan
",Juan,134,135
664,1769,juan baptista,Juan baptista,134,136
665,1773,josefe,Josefe,62,63
666,1786,bernardo,Bernardo,125,126
667,1788,joseph,Joseph,42,43
668,1788,costa,costa,107,108
669,1791,pedro,Pedro,61,62
670,1792,costa,costa,127,128
671,1797,alonso,Alonso,30,31
672,1797,alonso esijano,Alonso esijano,30,32
673,1797,costa,costa,155,156
674,1804,benito,Benito,62,63
675,1805,rufina,rufina,65,66
676,1805,juan,Juan,560,561
677,1805,"juan
",Juan,560,561
678,1805,mariana,mariana,52,53
679,1805,mariana fagardo,mariana fagardo,52,54
680,1805,rufina de,rufina de,65,67
681,1805,costa,costa,204,205
682,1806,juan,Juan,76,77
683,1806,"juan
",Juan,76,77
684,1815,carlos,carlos,78,79
685,1816,martin,martin,895,896
686,1819,costa,costa,122,123
687,1821,costa,costa,47,48
688,1822,domingo de lazaro,Domingo de lazaro,187,190
689,1822,domingo,Domingo,187,188
690,1822,costa,costa,83,84
691,1823,costa,costa,37,38
692,1824,costa,costa,161,162
693,1825,costa,costa,125,126
694,1826,costa,costa,340,341
695,1828,juan,Juan,65,66
696,1828,"juan
",Juan,65,66
697,1828,maria,maria,690,691
698,1828,juan baptista,Juan baptista,65,67
699,1828,bernardo,bernardo,696,697
700,1829,rufina,rufina,57,58
701,1829,juan,Juan,49,50
702,1829,"juan
",Juan,49,50
703,1830,juan de dios,Juan de dios,45,48
704,1830,juan,Juan,45,46
705,1830,"juan
",Juan,45,46
706,1830,juan de,Juan de,45,47
707,1831,costa,costa,62,63
708,1833,juan,juan,84,85
709,1833,"juan
",juan,84,85
710,1833,juan bautista,juan bautista,84,86
711,1833,bautista,bautista,85,86
712,1833,costa,costa,219,220
713,1834,juan,juan,117,118
714,1834,"juan
",juan,117,118
715,1834,costa,costa,91,92
716,1836,bartolome,bartolome,28,29
717,1839,costa,costa,151,152
718,1841,bartolome,bartolome,238,239
719,1841,bartolome pinto,bartolome pinto,238,240
720,1845,clemente de la calcada,clemente de la calcada,830,834
721,1847,costa,costa,206,207
722,1848,juan,Juan,79,80
723,1848,"juan
",Juan,79,80
724,1848,maria,maria,119,120
725,1848,juan bautista,Juan bautista,79,81
726,1848,bautista,bautista,80,81
727,1849,felipe,felipe,102,103
728,1849,costa,costa,1011,1012
729,1851,costa,costa,236,237
730,1853,juan,juan,278,279
731,1853,"juan
",juan,278,279
732,1853,francisco,francisco,37,38
733,1853,francisco de,francisco de,94,96
734,1853,costa,costa,325,326
735,1854,maria,maria,225,226
736,1856,costa,costa,183,184
737,1857,costa,costa,129,130
738,1861,niculas,niculas,66,67
739,1863,costa,costa,265,266
740,1864,costa,costa,106,107
741,1866,antonio,antonio,54,55
742,1866,domingo,domingo,278,279
743,1867,pablo,pablo,269,270
744,1867,pedro,pedro,267,268
745,1867,ana,ana,93,94
746,1868,diego,diego,47,48
747,1868,diego de,diego de,47,49
748,1875,niculas,niculas,535,536
749,1878,costa,costa,153,154
750,1880,juan,Juan,236,237
751,1880,"juan
",Juan,236,237
752,1880,juan bautista,Juan Bautista,236,238
753,1880,francisco,Francisco,215,216
754,1880,diego,Diego,136,137
755,1880,bautista,Bautista,237,238
756,1880,diego de,Diego de,136,138
757,1880,costa,costa,518,519
758,1882,costa,costa,251,252
759,1883,francisco,francisco,53,54
760,1883,francisco de,francisco de,53,55
761,1888,marcos,marcos,34,35
762,1888,costa,costa,332,333
763,1904,costa,costa,48,49
764,1906,sebastian,Sebastian,50,51
765,1909,maria,maria,287,288
766,1911,bautista,bautista,43,44
767,1911,costa,costa,182,183
768,1912,marco,marco,173,174
769,1914,costa,costa,202,203
770,1918,bernardo,bernardo,58,59
771,1919,costa,costa,110,111
772,1920,costa,costa,254,255
773,1926,phelipe,phelipe,35,36
774,1926,costa,costa,56,57
775,1930,costa,costa,311,312
776,1932,bernardino,bernardino,119,120
777,1932,sebastian,Sebastian,109,110
778,1932,roque,Roque,106,107
779,1932,antonio,Antonio,116,117
780,1932,francisco,Francisco,111,112
781,1932,diego,diego,93,94
782,1933,pablo,pablo,282,283
783,1933,domingo,domingo,287,288
784,1934,carlos atabante,carlos atabante,164,166
785,1934,carlos,carlos,164,165
786,1935,pablo,pablo,148,149
787,1935,costa,costa,72,73
788,1936,costa,costa,130,131
789,1937,martin,Martin,9,10
790,1941,baltazar quintero,baltazar quintero,493,495
791,1941,costa,costa,1009,1010
792,1943,catalina,catalina,166,167
