,0
124,barreda
125,bartolome belzere
126,bartolome hozes
127,bartolome humarez
128,bartolome redaño
129,bartolome parrafranco
130,basquez
131,batista s
132,bautismo
133,bautismo mariana
134,beatris
135,beatriz
136,beatriz barue
137,beatriz campoverde
138,beatriz benjumea
139,belen d
140,beltran aubri
141,benito dinan
142,benito montedoy
143,benito de pumares
144,benuenucto tortillo
145,benuenuto
146,benuenuto tortillo
147,benvenuto
148,benvenuto tortillo
149,berdo billaba
150,bernabe menuche
151,bernabe mompian xezerra
152,bernal
153,bernardino
154,bernardino 20 reales
155,bernardo
156,bernardo andres depezo
157,bernardo biquera
158,bernardo pedia
159,bernardo mostrenco
160,bodas cana
161,bodas canaan
162,bollullos mitacion
163,borne
164,brigida torres
165,caballo
166,calderon
167,canasita flores
168,cano
169,caova
170,capitulaciones matrimoniales
171,capitulo definitorio
172,carlos
173,carlos ii
174,carlos atabante
175,carlos chasaretta
176,carlos licht
177,carlos ubiedo
178,castilleja gurman
179,catalina
180,catalina jacinta lucera y pedrosa
181,catalina paisoles
182,catalina mijancas
183,catalina fandoual
184,catalina morisca
185,cebrian caritate
186,cerdan
187,christo cruz
188,ciprion coruchi
189,claudio
190,claudio perijon
191,cleopatra quitandose una vibora los pechos
192,cofradia las animas
193,cofradia las benditas
194,cofradia santisimo sacramento
195,cofradia santisimo sacramento y almas benditas purgatorio
196,compañia jesus
197,conrado bredembeque
198,constanza chasareta
199,conversion
200,corderito
201,cornelio delque
202,corral
203,costa
204,criftoual xuares
205,cristo crucificado
206,cristo expiracion
207,cristo nuestro
208,cristo señor muerto
209,cristo san juan y nra señora
210,cristobal
211,cristobal sugadi
212,cristobal barro y sepulbeda
213,cristobal nuñes
214,cristobal treinta y ocho mil y setecientos y cincuenta
215,cuelo escarolado
216,camara de
217,diego dlaz
218,domingo mejla
219,dalila cortando
220,damian teba
221,daniel
222,david
223,dean
224,desposorios
225,diego
226,diego -- lucas
227,diego alcantud
228,diego daca
229,diego sinajez
230,diego belasques silba
231,diego de
232,diego abrego
233,diego albarada
234,diego aremo
235,diego azalidallo
236,diego begadi
237,diego campoviejo
238,diego esqueda
239,diego lateral
240,diego ortenegra
241,diego paiba
242,diego pierogullano
243,diego sita
244,diego sutigo
245,diego ydobo
246,diego ziria
247,diego zuñiga
248,diego habania
249,diego gomes las vifite
250,dionizio monzerrate puior
251,domingo
252,domingo embila
253,domingo pieragullano
254,domingo quaresma
255,dorado pintura
256,dorado retablo
257,duarte
258,dupues medinazeli
259,duque medina-sidonia
260,elvira
261,enagenar
262,enrique
263,enrique bet
264,entrego e recibo
265,escribano publico
266,esno seuia
267,espanta rodrigo
268,espejo
269,espino
270,estacio ramos
271,esteuan roano
272,estan maltratando
273,eufemio sigler
274,eugenia
275,eusebio
276,evangelistas
277,executen conpelan
278,executen conpelan y apremisa
279,ezeto
280,francisco de los rfos alcantud
281,faustina
282,favian umanes cancino
283,feliciana
284,feliciano
285,felipe
286,felipe iv
287,felipe v
288,felipe montingre
289,femando virabedra paz
290,femando miranda
291,fernan 
292,fernandez
293,fernando
294,fernando 4 reales
295,fernando pesquel
296,fernando abrego
297,fernando almonarir
298,fernando benjumea
299,fernando billapor
300,fernando nisa
301,fernando y luisa
302,fernando y santa
303,fiadores blas santa maria
304,figueroaandres ocampo
305,figueroamanuel morales
306,firmadaalonso alarcon
307,firmadamiguel çumaraga
308,firman
309,firmas
310,florencio
311,flores alrededor
312,francesca
313,francesca calvijo pora
314,francesca teroro
315,francesca sarayn
316,francisca
317,francisco ascarza
318,francisco baltanel
319,francisco beltanel
320,francisco bernuda
321,francisco estacio
322,francisco joseph fernando y isidro
323,francisco lazo
324,francisco medil
325,francisco megia
326,francisco nobela
327,francisco nolda
328,francisco nuñes
329,francisco rabarro
330,francisco reliada
331,francisco terrin
332,francisco de
333,francisco --
334,francisco alicante
335,francisco bacarrel
336,francisco baslientos
337,francisco hozes
338,francisco huebel
339,francisco huses
340,francisco logroño
341,francisco micergilio
342,francisco nabia
343,francisco nanziba
344,francisco urquecir
345,francisco valvurua
346,francisco braña
347,francisco hordoñ
348,francisco y bernardina
349,francisco-pacheco
350,franco
351,fruteros
352,fscribano
353,felix
354,felix guersi
355,gaspar mejla
356,gabriel
357,gabriel muys
358,gabriel alhondiga
359,gabriel crexensan
360,gabriel leon y arespe
361,gambarte
362,gaspar
363,gaspar brabo
364,gaspar jerquelbout
365,gaspar pluyms
366,gaspar ragis
367,gaspar nuñes
368,gaudioso berobia
369,geronimo leiba
370,gil curul
371,globos flores
372,goliat y david
373,gonsalo auisele
374,gonzalo
375,gonzalo santofincia
376,gregorio arbuscody
377,gregorio vastan
378,guillermo duincuelt
379,guirnaldas flores
380,hacer escoltura
381,haser
382,henrique
383,henrique banfraet
384,henrique conique
385,hercules
386,herhardt sonen
387,hernando santa cruz
388,hernando esturme
389,hernando uzeda
390,heronimo velasques
391,hespa
392,hieroglificos muerte
393,hieronimo estede
394,hungria
395,ignacio de rles
396,identicos
397,igla auiso
398,igla nesesito
399,ignacia coniques
400,ignacio mugaburu
401,ignacio tapis
402,ille sr julian
403,ilmo
404,ilustrisimo cauildo
405,ines
406,ines loys
407,isabel
408,isabel baltanel
409,isabel freijol
410,isabel humarez
411,isabel olaches
412,isabel ochea
413,isabel y nufria
414,isidora
415,isidora matias valdovinos
416,isidro
417,j ba
418,juan gomez de coutodieron
419,jacinta
420,jacob
421,jacobo
422,jacobo alca
423,jacome arcegani
424,jacome pedemontte carlos badaraco
425,jaen
426,jaime baltanel
427,jaime seiba
428,jeraldo monforte
429,jeronima estrada- y universales
430,jeronimo delos olivos
431,jerusalen
432,jeronima campoverde
433,jeronimo
434,jeronimo alavarre
435,jeronimo balfacon
436,jeronimo brabo
437,jeronimo guindal
438,jeronimo zuñiga
439,jeronimo --
440,jesucristo
441,jesuxpo nro sr
442,jesus
443,jesus cristo defunto
444,jesus dormido
445,jesus ecce
446,jhendo
447,joan ribade
448,jordan
449,jorge balduc
450,jorge benaberte
451,jorge galuiz
452,jose baias
453,jose santistebanpartida
454,josefe
455,josefe gago
456,josefe niverto
457,josefe ira
458,joseph
459,joseph belero urbines
460,joseph brunenque
461,joseph gonzales bandanosa
462,joseph jacon
463,joseph lopa
464,joseph reduando
465,joseph shez berrospe
466,joseph tason
467,joseph veloso
468,joseph benjumea
469,joseph betis
470,joseph nicodemus
471,joseph olayrola
472,joseph onbigoze
473,joseph taronque
474,joseph vinuere
475,joseph hynacio
476,joseph ynacio
477,josepha
478,josepha albardo
479,josepha amarrosta
480,josepha alcala
481,josepha amides liano
482,josepha biscarra
483,josepha marta y garzia
484,josepha pinares
485,josepha tordera
486,josepha los santos
487,josephe --
488,josephe acosser
489,josephe alcosser
490,josephe molina y argote
491,josephe escouar
492,josephe farja
493,josephe orden
494,josephe salcedo e frayles
495,jospeh ruiz calzado
496,jospeha figueroa
497,josue banbelle
498,jose
499,jose gurrumendi
500,ju
501,juan afanador
502,juan barragan
503,juan bautista pluyns
504,juan bemal
505,juan bta
506,juan cazquiso
507,juan cestero
508,juan donaire
509,juan fax
510,juan ferazon
511,juan filibante
512,juan gabaldon
513,juan gellega
514,juan jeronimo quadro y sopuerta
515,juan lazo
516,juan manuel y
517,juan martinez montañezsignada
518,juan mercier
519,juan porasco
520,juan seco
521,juan soberano
522,juan suares nabia
523,juan valtanel
524,juan xaramielo
525,juan barva
526,juan -ndo
527,juan abaco
528,juan alicante
529,juan allendano
530,juan alsicolla
531,juan apans
532,juan argia
533,juan beretente
534,juan bitaben
535,juan cabañuela
536,juan canpania
537,juan casablanca
538,juan cazorla
539,juan cuentana
540,juan diso
541,juan enderica
542,juan esqueda
543,juan ginros
544,juan herrados beces
545,juan iraun
546,juan leon y arispe
547,juan medays
548,juan obiedo maeftro
549,juan orisal sagasta
550,juan presiada
551,juan querencia
552,juan raideder
553,juan redio
554,juan ruder
555,juan sabanza
556,juan salsedodiego salsedo
557,juan samiedo
558,juan santa cruz
559,juan sopriarta
560,juan ubiedo
561,juan undarte u ondarte
562,juan urrechar
563,juan urtaben
564,juan useda
565,juan uzeda
566,juan vrones
567,juan yses
568,juan yterayn3
569,juan ytieraen
570,juan zumarraga
571,juan salcedosausedo
572,juan aranburo
573,juan beses herado
574,juan mefa
575,juan paladinas
576,juan urquisar
577,juan xto
578,juan lopez caudelero yeso
579,juan ps
580,juan y andres
581,juana
582,juana --
583,juana flesson
584,juana iraun
585,juana isidora valdovinos
586,juana isidora y valdovinos
587,juana lendines
588,juana negra
589,juana valdovinos
590,juana alcosser
591,juana iruan
592,juana vayas
593,juana y isidora valdovinos
594,juanes abaasquita
595,juanes veorostigui
596,juanes obecias
597,juanos aubezias
598,juarez
599,jubileo porciuncula
600,judit
601,julio
602,jumenta balam
603,jun mnez montañes
604,juo
605,juo cavello
606,juo saluador maestro
607,juo avendaño
608,juo roela
609,juo ballejo
610,juo mesa
611,juo obiedo
612,juo rio
613,juo rio zelaya
614,juo lopes elega
615,juo martines montañes quatrocientos duos
616,juo mnes montañes
617,jusepe
618,jusepe tazon
619,jusepe tason
620,justa y rufina
621,justina
622,laura
623,ldo alo martin
624,ldo juo roela
625,ldo lucas anteçana
626,ledesma de
627,legot
628,legott
629,leonor
630,lope hozes
631,lopez alcegafranco
632,lorenso bernardo gonsales
633,lorenso gonsales
634,lorenza abueda
635,lorenzo
636,lorenzo ibarburu y gladena
637,lorenzo ibarburu
638,lucas xaurigue
639,lucas ziorda
640,lucia luzon
641,luciana abendaria
642,lucrecia abrego
643,luis
644,luis fereriqui
645,luis vistal
646,luis aillon y cuadros
647,luis salafranco y navalla
648,luis y antonio
649,luisa
650,luisa luzon
651,luisa raphaela
652,luisa las nubes
653,lusia
654,ma fernandez
655,matias de godoycarvajal academia
656,murillo virgen
657,maedael
658,maeftro
659,magdalena
