Casamayor de La Coma, María Andresa. Casandro Mamés de La Marca y Araioa
Agüesca , Lorenzo de
Agüesca , Teresa de
Aguiar , Filipe de
Aguiar , Juan José Benito
Aguiar y Acuña, Rodrigo
Aguiar y de Lema, Juan Bautista de
Aguiar Seijas y Ulloa, Francisco de
Águila , Antonio del
Águila , Baltasar del
Águila , Francisco Javier del
Águila , Juan de
Águila , Juan del
Águila , Suero del
Águila y Alvarado, Luis del. Marqués de Espeja (XII)
Águila de la Cruz, Diego del
Águila e Icaza, Pedro Antonio del
Águila y Paz, Antonio del
Aguilar , Alonso de
Aguilar , Alonso de. Xorayque
Aguilar , Alonso de
Aguilar , Cipriano
Aguilar , Clemente de
Aguilar , Cristóbal de
Aguilar , Diego de
Aguilar , Diego de
Aguilar , Diego de
Aguilar , Diego de
Aguilar , Dionisio
Aguilar , Fernando de
Aguilar , Francisco de
Aguilar , Francisco
Aguilar , Francisco de
Aguilar , Francisco Miguel
Aguilar , Francisco
Aguilar , Francisco Xavier de
Aguilar , Gaspar Honorato. Sombra
Aguilar , Jaume
Aguilar , Jerónimo de
Aguilar , Juan de
Aguilar , Juan de
Aguilar , Luis
Aguilar , Marcos de
Aguilar , Miguel de
Aguilar , Santos
Aguilar , Tomás (de)
Aguilar , Victoriano
Aguilar y Anaya, Bartolomé
Aguilar y Bastidas, Cristóbal
Aguilar de Cea, Antonio de
Aguilar de Córdoba , Alonso
Aguilar y de Córdoba, Diego de
Aguilar y Ferrer, Francisco
Aguilar Guerrero, Manuel
Aguilar Jurado, Vicente
Aguilar Lasso de la Vega, Pedro
Aguilar de Loaisa, Francisco
Aguilar y Páramo, Francisco de Paula de
Aguilar Ponce de León y Fernández de Santillán, Rafael María de
Aguilar de la Puerta, Manuel María
Aguilar Rondón, Tomás
Aguilera , Antonio de
Aguilera , Diego de
Aguilera , Diego de
Aguilera , Francisco Javier
Aguilera , Hernando
Aguilera , José de
Aguilera , José
Aguilera , Juan de
Aguilera , Juan
Aguilera , Pedro de
Aguilera Arias Quintanilla, Juan Bautista de
Aguilera y Castillo, Juan de
Aguilera y Contreras, Domingo de. Marqués de Benalúa (II)
Aguilera y Contreras, Fernando de. Marqués de Cerralbo (XV), Flores Dávila (XIII), Almarza (X) y Campofuerte (IX), Conde de la Alcudia (VIII), Villalobos (XII), Alba de Yeltes (XI), Foncalada (XI), Fuenrubia (IX), Casasola del Campo (VII) y de Oliva de Gaitán (VI)
Aguilera y Contreras, Gaspar de. Marqués de Benalúa (I)
Aguilera y Gamboa, Diego
Aguilera de Heredia, Sebastián
Aguiló , Francisco
Aguilón y García, Pedro Luis
Aguinaga , Domingo de
Aguiriano Gómez, Francisco Mateo
Aguirre , Andrés de
Aguirre , Andrés Ginés de
Aguirre , Cristobal de
Aguirre , Diego de
Aguirre , Domènec
Aguirre , Domingo. El Vascongado
Aguirre , Francisco de
Aguirre , Francisco de
Aguirre , Francisco
Aguirre , Hernando de
Aguirre , José de
Aguirre , Juan Bautista
Aguirre , Juan de
Aguirre , Juan de
Aguirre , Juan de
Aguirre , Juan Pedro Julián de
Aguirre , Lope de. El Tirano
Aguirre , Manuel Santiago
Aguirre , Martín de
Aguirre , Melchor de
Aguirre , Miguel de
Aguirre , Miguel de
Aguirre , Pablo Agustín de
Aguirre , Pedro Antonio de
Aguirre y Aguirre, Domingo Ambrosio de
Aguirre y Álava, Joaquín Francisco de. Conde de Ayanz (I)
Aguirre y Ayanz-Arbizu, Felipe Tiburcio de
Aguirre y Boza, Joaquín Fermín de
Aguirre y Castro, Tomás María
Aguirre y Celaa, Pedro Antonio
Aguirre y del Corral, Ortuño María de. Marqués de Montehermoso (VI). Conde de Triviana (X)
Aguirre Doray, Juan Pedro
Aguirre Guarnizo, Manuel Ignacio
Aguirre Irisarri, José
Aguirre y Landázuri, Manuel Mariano. el Militar Ingenuo
Aguirre Micheo, Agustín Casimiro
Aguirre Necolalde, Juan Fernando
Aguirre Negro y Estrada Martínez de Maturana, José Francisco
Aguirre Oquendo, Joaquín de
Aguirre y Ortés de Velasco, Francisco Javier Matías de. Marqués de Montehermoso (IV)
Aguirre y Ortés de Velasco, Ignacio Luis Agapito de
Aguirre y Ortés de Velasco, José María Luis de. Marqués de Montehermoso (V)
Aguirre y Salcedo, Francisco Antonio de. Marqués de Montehermoso (II)
Aguirre y Sebastián, Matías de
Aguirre-Solarte Iturraspe, José Ventura de
Aguirre Urruchua, José Pantaleón
Aguirre Uztáriz, Juan Francisco
Aguirre y Viana, Andrés de
Aguirre y Viana, Guillermo Antonio de
Aguirre e Ybarzábal, Jacinto de
Aguirre y Yoldi, Alfonso de. Conde de Yoldi
Aguirre Zubiaga, Juan Antonio
Aguirre y Zuricaray, José Francisco de
Aguirrebengoa y Aguirre, José Ignacio
Agullana , Jaume
Agulló , Cosme
Agulló , Gaspar
Agulló y Pinós, José de. Marqués de Gironella (I)
Agullona (Agulló) , Margarita
Agurto y Salcedo, Francisco Antonio. Marqués de Gastañaga (I)
Agurto y Salcedo, Juan Miguel
Agustí y Siscar, Antoni
Agustín , Jerónimo
Agustín y Albanell, Antonio
Agustín Grande, Francisco
Agustín Linares, María
Agustín y Mendoza, Antonio
Agustín y Prieto, Basilio
Ahmad al-Hayari . Ehmed ben Caçim Bejarano
Ahuitzotl
Ahumada , Hernando de
Ahumada , Juan Antonio de
Ahumada , Teresa de. Teresa de Jesús, Teresita
Ahumada y Villalón, Agustín de. Marqués de las Amarillas
Aingo de Ezpeleta, Pedro
Aínsa , Aniceto de
Aizkibel Epelde, José Francisco
Aizpitarte , Martín de
Aizpurúa , Benito
Aizpurua , Manuel de
Aizpurúa y Casamayor, José Ramón de
Aizpurua Echeveste, Jerónimo de
Ajuria , Cristóbal
Álaba y Norueña, Francisco de
Alafont , Mariano
Alagón y Espés, Enrique de. Conde de Sástago (VIII), Conde de Fuenclara (I)
Alagón y Martínez de Luna, Artal de. Conde de Sástago (III)
Alaix y Fábregas, Isidro de. Conde de Vergara (I); Vizconde de Villarobledo (I)
Alaja , Francisco Basilio
Alamán , Juan Vicente
Alamán , Lucas
Alameda , Juan de
Alameda y Brea, Cirilo
Alamín , Félix de. Félix de los Molinos
Alaminos , Antón de
Álamo , Gonzalo del
Álamo , Lázaro del
Álamos y Arcaya, Pedro de los
Álamos de Barrientos , Baltasar de
Alanís , Vicente de
Alanyà , Lluis
Alarcón , Benito de
Alarcón , Diego de
Alarcón , Diego Fernando de. Señor de Valera de Yuso. Señor de Santa María del Campo
Alarcón , Francisco de
Alarcón , Hernando de. El Señor de Alarcón
Alarcón , Hernando de
Alarcón , José de
Alarcón , Luis de
Alarcón , Luis de
Alarcón , Martín de
Alarcón y Alcocer, Sebastián de
Alarcón de Cariñena, Francisco Antonio de
Alarcón Coronado, Francisco de
Alarcón de Covarrubias, Francisco de
Alarcón Lozano, Antonio
Alarcón y Soria, Luis de
Alarcón de Tordesillas, Arcángel de
Alarcón de Tordesillas, Juan de
Alarcón y Tornero, Judas Tadeo de
Alarcón y Vargas, Luis Ambrosio de
Alarcos , Alfonso de
Alas , Pero Alfonso
Alas Cienfuegos, Esteban Fernando
Álava , Andrés de
Álava , Jerónimo de
Álava , Juan de. Juan de Ybarra
Álava y Beamonte, Francisco de
Álava y Esquivel, Diego de
Álava y Esquivel, Miguel Ricardo
Álava y Sáenz de Navarrete, Ignacio María de
Álava y Sáenz de Navarrete, José Manuel
Álava Sáenz de Navarrete, Luis de
Álava y Viamont, Diego de
Alba y Astorga, Pedro de. Carvaialensis
Alba y Ayuste, Antonio José Ramón de. Albano
Albanell , Jeroni
Albanell y Girón de Rebolledo, Galcerán
Albano Pereira, Juan
Albano Pereira y Cruz, Juan Diego
Albarellos , Ruperto
Albariño , Domingo
Albariño , José María
Albariño Lago, Manuel
Albarracín de Sarmiento, Paula
Albaspí , Benito
Albear , Bartolomé de
Albear , Diego de
Albelda , Manuel
Alberch i Ferrament, Pere. Pere Vila
Alberdi , Salvador
Alberni , Pedro de
Alberoni , Giulio
Alberro , Francisco de
Albert , Jaime
Alberti , Arnaldo. Albertino
Alberti , Manuel Máximo
Albertino , Jerónimo
Alberto de Austria
Albín y Cañedo, Melchor de
Albistur , Juan de
Albites , Evaristo
Albiz , Martín de
Albizu y Villamayor, Juan Antonio de. Marqués de Villamayor (II), Barón de Purroy
Albo , Manuel de
Albo , Mariano de
Albo Helguero, Julián
Albornoz , Francisco de
Albornoz , Juan de
Albornoz y Espinosa, Felipe de
Albornoz y Espinosa, Gil de
Albornoz y Mantilla, Antonio de
Albors Gisbert, Vicente
Alborxe , Alexos de
Albotodo , Juan
Albujar , Juan Martín
Albuquerque , Afonso
Albuquerque , Jerónimo de
Albuquerque , Matías de. Conde de Alegrete (I)
Alburquerque , Agustín de
Alburquerque , Bernardo de
Alburquerque , Rodrigo de
Alcaide , José
Alcalá , Alfonso de
Alcalá , Antonio de
Alcalá , José
Alcalá , Luis de
Alcalá , Pedro de
Alcalá-Galiano , Antonio María
Alcalá-Galiano y Alcalá-Galiano, Dionisio
Alcalá-Galiano y Alcalá-Galiano, Vicente
Alcalá-Galiano y Fernández de Villavicencio, Antonio
Alcalá de la Torre , Francisco de Paula
Alcalá Yáñez de Ribera, Jerónimo de
Alcalá-Zamora Ruiz de la Tienda, Pedro
Alcalde y Barriga, Francisco Antonio
Alcalde y Merino, Bernardo. Licenciado de Falces
Alcántara , Antonio de
Alcántara , Diego de
Alcántara , Francisco Martín de
Alcántara , Juan de
Alcántara y Dubois de Fienne, Pedro José Octavio
Alcanyís , Lluís
Alcaraz , Andrés de
Alcaraz , Bernardino
Alcaraz , Toribio de
Alcaraz y Aguado, Domingo
Alcarria I , Miguel
Alcarria II , Miguel
Alcarria Cañizo, Julián
Alcastiel , Yosef
Alcaya , Diego Felipe de
Alcayde , Mariano
Alcayna Guirao, Antonio
Alcázar , Andrés
Alcázar , Baltasar del
Alcázar , Bartolomé
Alcázar , Francisco
Alcazar , Juan de
Alcázar , Luis del
Alcázar , Pedro del
Alcázar Arriaza, Jacinto de
Alcazar Estupiñán y Doria, Felipe del. Conde de la Marquina (II), señor de la Fuente del Rosalejo
Alcázar y Zúñiga, Andrés del. Conde de la Marquina (I)
Alcedo y Agüero, José Remigio de. Marqués de Villaformada (V)
Alcedo y Avellaneda, Mauricio de
Alcedo y Bejarano, Antonio
Alcedo Campuzano, José. Marqués de Villaformada
Alcedo y Herrera, Dionisio
Alcedo de la Rocha , Juan
Alcedo y Sotomayor, Carlos de
Alcega , Juan
Alcocer de Ocampo, Luis Gerónimo de
Alcón y Calduch, Andrés
Alcoriza , Antonio Manuel
Alcover Figueras, Juan de Santo Tomás
Alcoverro , Vicente
Alcubierre , Roque Joaquín de
Aldama y González, Juan
Aldama Irabien, Juan Antonio
Aldana , Cosme de
Aldana , Francisco de
Aldana , Joan d'
Aldana , José Manuel de
Aldana , Juan de
Aldana , Lorenzo de
Aldao , Antonio Basilio de
Aldao , Fabián José de
Aldao Barbeito, Pedro de
Aldás y Hernández, Gerónimo de
Aldasoro y Arizaga, Juan Bautista
Aldave , Domingo de
Alday y Aspee, Manuel de
Alday García, Manuel
Aldaz y Fauduas, José de. Vizconde de la Armería (I), marqués de Monterreal (I)
Aldazábal , Cristóbal de
Aldea , Francisco
Aldecoa de Lequerica y Urigoitia, José de
Aldecoa Mendoza, Manuel María
Alderete , Cristóbal de
Alderete , José
Alderete , Juan de
Alderete , Julián
Alderete , Lorenzo de
Alderete y Franco, Manuel
Alderete de Haro, Diego
Alderete de León, Bernardo. Bernardo de Jesús María
Alderete y Mercado, Jerónimo de
Alderete y Pedruja, Juan de
Alderete y Soto, Luis
Aldovera y Monsalve, Jerónimo
Aldrete Passadas, Bernardo José de
Aldunate y Guerrero, José Santiago Ignacio
Alegre , Francesc
Alegre , Juan Bautista
Alegre , Manuel
Alegre , Pedro Antonio
Alegre y Albano, José
Alegre Capetillo, Francisco Javier
Alegre Gutiérrez del Hoyo, Buenaventura Ramón Santos
Alegría , Juan de
Alejandre Guerrero, José María
Alejandro VI. El Papa Borja
Alejandro de la Concepción
Alejandro de San Antonio
Alemán , Bartolomé
Alemán , Francisco de
Alemán , Juan. Barón de Bouclans
Alemán , Mateo
Alemán , Rodrigo
Alemán de Flandes , Diego
Alemans , Jaime
Alemany Mengual, Vicente
Alemcastre , Alfonso de. Duque de Abrantes (I)
Alemcastre , Raimundo de. Duque de Aveiro (IV), Duque de Torres Novas (II), Duque de Maqueda (VIII), Duque de Ciudad Real (I), Duque de Baños (I), Marqués de Elche (IX), Marqués de Montemayor (I)
Alencastre Noroña y Silva, Fernando de. Duque de Linares (IV), Marqués de Valdefuentes, Marqués de Goubea, Conde de Portoalegre
Alençon , Francisco de. Duque de Anjou, conde de Flandes, duque de Brabante
Alentorn i d' Oms, Onofre d'. Señor de Seró
Alentorn i de Salbà, Miquel d'
Alépuz , Salvador de
Alesón , Francisco
Alesón Alonso de Tejada, Eleuterio Ramón María
Alesón y Bueno Romero, Juan José de. Barón de Casa Davalillo
Alesón y Cobos, Atanasio de. Conde de la Peña del Moro (I), vizconde de Alesón (I)
Alfaro , Alonso de
Alfaro , Benito de
Alfaro , Cristóbal de
Alfaro , Cristóbal de
Alfaro , Diego de
Alfaro , Diego
Alfaro , Francisco de
Alfaro , Gregorio de
Alfaro , Ignacio de
Alfaro , José
Alfaro , Pedro Juan de
Alfaro y Gámez, Juan de
Alfaro Gutiérrez, María
Alfaro y Ortega, Sebastián María de. Conde de Balazote (V y VI)
Alferio , Jacinto
